"Key","Card Name","Class","Cost","Rarity","Source","Enemy Tiles","Ally Tiles","Damage","Heal","Shield","Block Total","Parry","Poison Total","Strength","Weaken","Draw","Move","Combo","Summons","Control","Quantifiable","Power","Power/Energy","Expected","Delta","Flag","Issues","Pw Common","Pw Uncommon","Pw Rare","Pw Legendary","Eff Knight","Eff Mage","Eff Rogue","Exp Plot","Pw Idea","Eff Cleric"
"SeismicSlam","Seismic Slam","Any","1","NotOffered","Neutral","9","1","7","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"StoneSkin","Stone Skin","Any","1","NotOffered","Neutral","1","1","4","0","10","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"BoneBulwark","Bone Bulwark","Any","1","NotOffered","Neutral","1","1","3","0","5","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"BoneChill","Bone Chill","Any","1","NotOffered","Neutral","1","1","3","0","0","0","0","0","0","0","0","0","0","","Vulnerable","Yes",,,,,,"",,,,,,,,,,
"Engulf","Engulf","Any","1","NotOffered","Neutral","1","1","3","0","0","0","0","0","0","1","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SpikeBurst","Spike Burst","Any","1","NotOffered","Neutral","9","1","3","0","0","0","0","0","0","1","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"LifeLeech","Life Leech","Any","1","NotOffered","Neutral","1","1","3","3","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldBash","Shield Bash","Knight","1","Common","Knight Ideas","1","1","5","0","0","5","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Cleave","Cleave","Knight","1","Uncommon","Knight Ideas","9","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"IronWall","Iron Wall","Knight","2","Uncommon","Knight Ideas","1","1","0","0","7","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Bulwark","Bulwark","Knight","1","Common","Knight Ideas","1","1","0","0","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Riposte","Riposte","Knight","2","Rare","Knight Ideas","1","1","0","0","0","0","2","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"HeavySwing","Heavy Swing","Knight","2","Common","Knight Ideas","1","1","12","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SecondWind","Second Wind","Knight","1","Uncommon","Knight Ideas","1","1","0","5","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"GuardStance","Guard Stance","Knight","0","Common","Knight Ideas","1","1","0","0","3","5","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldSlam","Shield Slam","Knight","2","Uncommon","Knight Ideas","1","1","5","0","5","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"LastStand","Last Stand","Knight","3","Rare","Knight Ideas","1","1","0","0","15","15","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldCharge","Shield Charge","Knight","2","Uncommon","Knight Ideas","9","1","5","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"BullRush","Bull Rush","Knight","1","Uncommon","Knight Ideas","1","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldWall","Shield Wall","Knight","2","Rare","Knight Ideas","1","5","0","0","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"HoldTheLine","Hold the Line","Knight","2","Uncommon","Knight Ideas","1","1","0","0","0","10","0","0","0","0","0","0","0","","Taunt","Partial",,,,,,"",,,,,,,,,,
"FortifyPosition","Fortify Position","Knight","1","Common","Knight Ideas","1","1","0","0","5","0","0","0","0","0","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"Vanguard","Vanguard","Knight","2","Rare","Knight Ideas","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"RallyingCry","Rallying Cry","Knight","2","Uncommon","Knight Ideas","1","13","0","0","0","0","0","0","2","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Intimidate","Intimidate","Knight","1","Common","Knight Ideas","1","1","0","0","0","0","0","0","0","2","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"CrushingBlow","Crushing Blow","Knight","2","Uncommon","Knight Ideas","1","1","5","0","0","0","0","0","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ArmorUp","Armor Up","Knight","1","Common","Knight Ideas","1","1","0","0","0","0","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"PerfectGuard","Perfect Guard","Knight","2","Rare","Knight Ideas","1","1","0","0","0","15","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Punish","Punish","Knight","1","Uncommon","Knight Ideas","1","1","5","0","0","0","0","0","0","0","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"BattleFocus","Battle Focus","Knight","1","Uncommon","Knight Ideas","1","1","0","0","0","0","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Warcry","Warcry","Knight","2","Rare","Knight Ideas","1","1","0","0","0","0","0","0","3","0","1","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShieldOfFaith","Shield of Faith","Knight","1","Common","Knight Ideas","1","1","0","0","5","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Unbreakable","Unbreakable","Knight","3","Legendary","Knight Ideas","1","1","0","0","10","25","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"ExhaustingCharge","Exhausting Charge","Knight","1","Common","Knight Ideas","1","1","10","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"AvatarOfSteel","Avatar of Steel","Knight","3","Legendary","Knight Ideas","1","1","0","0","15","0","0","0","3","0","1","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Earthshatter","Earthshatter","Knight","3","Rare","Knight Ideas","9","1","8","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Whirlwind","Whirlwind","Knight","2","Rare","Knight Ideas","9","1","6","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ImmovableObject","Immovable Object","Knight","3","Legendary","Knight Ideas","1","1","0","0","10","25","0","0","0","0","0","0","0","","Taunt","Partial",,,,,,"",,,,,,,,,,
"Executioner","Executioner","Knight","3","Rare","Knight Ideas","1","1","15","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"DivineIntervention","Divine Intervention","Knight","3","Legendary","Knight Ideas","1","13","0","10","10","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"SiegeBreaker","Siege Breaker","Knight","3","Rare","Knight Ideas","13","1","10","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"FinalBulwark","Final Bulwark","Knight","3","Legendary","Knight Ideas","1","1","0","0","0","25","1","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Frostbolt","Frostbolt","Mage","1","Common","Mage Ideas","1","1","6","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ArcaneMissile","Arcane Missile","Mage","0","Common","Mage Ideas","1","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Scorch","Scorch","Mage","1","Common","Mage Ideas","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ChainLightning","Chain Lightning","Mage","2","Rare","Mage Ideas","13","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Meteor","Meteor","Mage","3","Rare","Mage Ideas","9","1","12","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ManaShield","Mana Shield","Mage","1","Uncommon","Mage Ideas","1","1","0","0","7","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"GreaterHeal","Greater Heal","Mage","2","Uncommon","Mage Ideas","1","1","0","15","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Blizzard","Blizzard","Mage","3","Rare","Mage Ideas","25","1","6","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"PrismaticWard","Prismatic Ward","Mage","2","Rare","Mage Ideas","1","1","0","0","5","10","1","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Blink","Blink","Mage","0","Uncommon","Mage Ideas","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"Grease","Grease","Mage","1","Common","Mage Ideas","5","1","0","0","0","0","0","0","0","0","0","0","0","","Rooted","No",,,,,,"",,,,,,,,,,
"Web","Web","Mage","1","Uncommon","Mage Ideas","5","1","0","0","0","0","0","0","0","2","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"Thunderwave","Thunderwave","Mage","2","Uncommon","Mage Ideas","5","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MistyStep","Misty Step","Mage","1","Common","Mage Ideas","1","1","0","0","0","0","0","0","0","0","0","1","0","","Dodge","Partial",,,,,,"",,,,,,,,,,
"Curse","Curse","Mage","1","Common","Mage Ideas","1","1","0","0","0","0","0","0","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Hex","Hex","Mage","2","Uncommon","Mage Ideas","1","1","0","0","0","0","0","6","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Slow","Slow","Mage","1","Uncommon","Mage Ideas","1","1","0","0","0","0","0","0","0","2","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"DeepFreeze","Deep Freeze","Mage","2","Rare","Mage Ideas","1","1","5","0","0","0","0","0","0","0","0","0","0","","Frozen","Partial",,,,,,"",,,,,,,,,,
"Haste","Haste","Mage","2","Rare","Mage Ideas","1","1","0","0","0","0","0","0","0","0","1","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Bless","Bless","Mage","1","Uncommon","Mage Ideas","1","1","0","0","0","0","0","0","2","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MassCurse","Mass Curse","Mage","3","Rare","Mage Ideas","13","1","0","0","0","0","0","0","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MirrorImage","Mirror Image","Mage","2","Rare","Mage Ideas","1","1","0","0","0","0","0","0","0","0","0","0","0","","Dodge","No",,,,,,"",,,,,,,,,,
"Stoneskin","Stoneskin","Mage","2","Uncommon","Mage Ideas","1","1","0","0","0","15","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Contagion","Contagion","Mage","3","Rare","Mage Ideas","13","1","0","0","0","0","0","10","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ArcaneIntellect","Arcane Intellect","Mage","1","Uncommon","Mage Ideas","1","1","0","0","0","0","0","0","0","0","2","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Sunburst","Sunburst","Mage","3","Legendary","Mage Ideas","25","1","10","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Cataclysm","Cataclysm","Mage","3","Legendary","Mage Ideas","1","1","20","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MassHealingWord","Mass Healing Word","Mage","3","Rare","Mage Ideas","1","13","0","10","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"IceAge","Ice Age","Mage","3","Legendary","Mage Ideas","13","1","0","0","0","0","0","0","0","0","0","0","0","","Frozen","No",,,,,,"",,,,,,,,,,
"ArcaneTotem","Arcane Totem","Mage","2","Uncommon","Mage Ideas","1","1","0","0","9","0","0","0","0","0","0","0","0","Totem [Chebyshev 0-2]: Shield 3 on trigger","","Partial",,,,,,"",,,,,,,,,,
"ChainHeal","Chain Heal","Mage","2","Uncommon","Mage Ideas","1","13","0","5","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Disintegrate","Disintegrate","Mage","3","Legendary","Mage Ideas","1","1","25","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"PrismaticSpray","Prismatic Spray","Mage","3","Rare","Mage Ideas","5","1","6","0","0","0","0","0","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"FontOfPower","Font of Power","Mage","3","Legendary","Mage Ideas","1","1","0","0","0","0","0","0","3","0","2","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Backstab","Backstab","Rogue","1","Common","Rogue Ideas","1","1","7","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"TwinFangs","Twin Fangs","Rogue","1","Uncommon","Rogue Ideas","1","1","3","0","0","0","0","3","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Eviscerate","Eviscerate","Rogue","2","Uncommon","Rogue Ideas","1","1","10","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Feint","Feint","Rogue","0","Common","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","0","0","0","","Dodge","No",,,,,,"",,,,,,,,,,
"Envenom","Envenom","Rogue","1","Common","Rogue Ideas","1","1","0","0","0","0","0","10","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShadowStrike","Shadow Strike","Rogue","2","Rare","Rogue Ideas","1","1","8","0","0","0","0","0","0","2","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Bandage","Bandage","Rogue","1","Uncommon","Rogue Ideas","1","1","0","5","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Deflect","Deflect","Rogue","1","Common","Rogue Ideas","1","1","0","0","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ThrowingKnife","Throwing Knife","Rogue","0","Common","Rogue Ideas","1","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"FanOfKnives","Fan of Knives","Rogue","2","Uncommon","Rogue Ideas","9","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Shadowstep","Shadowstep","Rogue","0","Uncommon","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"Vanish","Vanish","Rogue","1","Rare","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","0","1","0","","Dodge","Partial",,,,,,"",,,,,,,,,,
"Acrobatics","Acrobatics","Rogue","1","Common","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","1","1","0","","","Yes",,,,,,"",,,,,,,,,,
"Hamstring","Hamstring","Rogue","1","Uncommon","Rogue Ideas","1","1","3","0","0","0","0","0","0","0","0","0","0","","Rooted","Partial",,,,,,"",,,,,,,,,,
"SmokeBomb","Smoke Bomb","Rogue","2","Rare","Rogue Ideas","5","1","0","0","0","0","0","0","0","2","0","0","0","","Dodge","Partial",,,,,,"",,,,,,,,,,
"DeadlyPoison","Deadly Poison","Rogue","2","Uncommon","Rogue Ideas","1","1","0","0","0","0","0","21","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"CripplingToxin","Crippling Toxin","Rogue","2","Rare","Rogue Ideas","1","1","0","0","0","0","0","6","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Rupture","Rupture","Rogue","2","Rare","Rogue Ideas","1","1","5","0","0","0","0","10","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"BladeFlurry","Blade Flurry","Rogue","2","Rare","Rogue Ideas","1","1","3","0","0","0","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Sharpen","Sharpen","Rogue","1","Common","Rogue Ideas","1","1","0","0","0","0","0","0","2","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Adrenaline","Adrenaline","Rogue","1","Uncommon","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","2","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ExposeWeakness","Expose Weakness","Rogue","1","Common","Rogue Ideas","1","1","0","0","0","0","0","0","0","4","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ToxicCloud","Toxic Cloud","Rogue","3","Rare","Rogue Ideas","13","1","0","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"EvasiveManeuvers","Evasive Maneuvers","Rogue","2","Rare","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","0","0","0","","Dodge","No",,,,,,"",,,,,,,,,,
"Preparation","Preparation","Rogue","0","Rare","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","1","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Shiv","Shiv","Rogue","0","Common","Rogue Ideas","1","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"DeathBlossom","Death Blossom","Rogue","3","Legendary","Rogue Ideas","13","1","8","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ThousandCuts","Thousand Cuts","Rogue","3","Rare","Rogue Ideas","1","1","6","0","0","0","0","21","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"ShadowDance","Shadow Dance","Rogue","3","Legendary","Rogue Ideas","1","1","0","0","0","0","0","0","0","0","2","1","0","","Dodge","Partial",,,,,,"",,,,,,,,,,
"PerfectAssassin","Perfect Assassin","Rogue","3","Legendary","Rogue Ideas","1","1","20","0","0","0","0","15","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"BladeStorm","Blade Storm","Rogue","3","Rare","Rogue Ideas","9","1","7","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"MasterOfShadows","Master of Shadows","Rogue","3","Legendary","Rogue Ideas","1","1","0","0","0","0","0","0","3","0","2","0","0","","Dodge","Partial",,,,,,"",,,,,,,,,,
"LethalDose","Lethal Dose","Rogue","3","Rare","Rogue Ideas","1","1","0","0","0","0","0","55","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Cutthroat","Cutthroat","Rogue","2","Rare","Rogue Ideas","1","1","12","0","0","0","0","0","0","3","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"FinalAct","Final Act","Rogue","3","Legendary","Rogue Ideas","1","1","15","0","0","0","0","0","0","0","3","0","0","","","Yes",,,,,,"",,,,,,,,,,
